log_minmax__age-height-weight_0,log_minmax__age-height-weight_1,log_minmax__age-height-weight_2,OneHotEncoder()__Medal_Bronze,OneHotEncoder()__Medal_Gold,OneHotEncoder()__Medal_Silver
0.4722426354973553,0.611265015612838,0.5932500560252815,1.0,0.0,0.0
0.4722426354973553,0.5098533446806258,0.4416484729988268,1.0,0.0,0.0
0.4722426354973553,0.5098533446806258,0.4416484729988268,0.0,1.0,0.0
0.4722426354973553,0.5098533446806258,0.4416484729988268,0.0,1.0,0.0
0.4722426354973553,0.5098533446806258,0.4416484729988268,0.0,1.0,0.0
0.5544307010341011,0.5098533446806258,0.4416484729988268,1.0,0.0,0.0
0.26514525044663523,0.5213757441762343,0.5932500560252815,0.0,1.0,0.0
0.26514525044663523,0.5213757441762343,0.5932500560252815,1.0,0.0,0.0
0.3238083045054178,0.5213757441762343,0.5932500560252815,0.0,0.0,1.0
0.3238083045054178,0.5213757441762343,0.5932500560252815,1.0,0.0,0.0
0.5147074861357549,0.5213757441762343,0.5932500560252815,0.0,1.0,0.0
0.5147074861357549,0.5213757441762343,0.5932500560252815,0.0,1.0,0.0
0.5917449257497844,0.5213757441762343,0.5932500560252815,0.0,1.0,0.0
0.426629459805463,0.6654820873138375,0.504573410852757,0.0,0.0,1.0
0.351168195715933,0.5891645154121451,0.4416484729988268,1.0,0.0,0.0
0.295175411381012,0.7595537297144372,0.6237866236953561,1.0,0.0,0.0
0.5147074861357549,0.7182834066569657,0.605674906498938,1.0,0.0,0.0
0.295175411381012,0.3908675188745352,0.29897165140696597,1.0,0.0,0.0
0.3238083045054178,0.555554174257254,0.5608616858414259,0.0,0.0,1.0
0.4722426354973553,0.5668198058469588,0.5805293481494458,0.0,1.0,0.0
0.351168195715933,0.5891645154121451,0.5994986008274631,0.0,1.0,0.0
0.44985848849053395,0.5891645154121451,0.5994986008274631,0.0,1.0,0.0
0.5348894976773565,0.5891645154121451,0.5994986008274631,0.0,0.0,1.0
0.3238083045054178,0.6222253440178075,0.57405357806972,0.0,1.0,0.0
0.3238083045054178,0.6331265868074931,0.5805293481494458,0.0,1.0,0.0
0.426629459805463,0.3908675188745352,0.3606837749140847,0.0,0.0,1.0
0.4722426354973553,0.5780230236450806,0.57405357806972,0.0,1.0,0.0
0.426629459805463,0.5891645154121451,0.4661219652281836,1.0,0.0,0.0
0.295175411381012,0.3662065346981066,0.4071691236669427,0.0,0.0,1.0
0.6602038821654495,0.6761532236353344,0.5932500560252815,0.0,1.0,0.0
0.5147074861357549,0.5780230236450806,0.5541415407523325,0.0,0.0,1.0
0.3238083045054178,0.6547543399247352,0.6582659730272401,0.0,1.0,0.0
0.4938412097032678,0.6547543399247352,0.6582659730272401,0.0,1.0,0.0
0.5917449257497844,0.6547543399247352,0.6582659730272401,0.0,1.0,0.0
0.3238083045054178,0.5891645154121451,0.6237866236953561,0.0,1.0,0.0
0.426629459805463,0.5891645154121451,0.6237866236953561,0.0,1.0,0.0
0.5147074861357549,0.5891645154121451,0.6237866236953561,0.0,0.0,1.0
0.4024892596646324,0.6439693776123697,0.6638022349054586,0.0,1.0,0.0
