Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,FRA,2008 Summer,Cycling,Gold,27.0,180.0,68.0
M,JOR,2016 Summer,Taekwondo,Gold,20.0,178.0,68.0
F,JPN,1964 Summer,Gymnastics,Bronze,26.0,148.0,46.0
M,URS,1980 Summer,Fencing,Bronze,25.0,189.0,81.0
M,URS,1980 Summer,Wrestling,Gold,20.0,170.0,62.0
F,ROU,2008 Summer,Gymnastics,Bronze,16.0,150.0,40.0
M,FRA,2012 Summer,Handball,Gold,24.0,194.0,104.0
M,SUI,1988 Winter,Alpine Skiing,Bronze,20.0,176.0,82.0
M,PUR,1992 Summer,Boxing,Bronze,21.0,176.0,67.0
M,MEX,1984 Summer,Wrestling,Silver,19.0,158.0,52.0
M,GHA,1992 Summer,Football,Bronze,18.0,181.0,73.0
M,SUI,1984 Summer,Cycling,Silver,24.0,176.0,75.0
M,MAR,1988 Summer,Boxing,Bronze,29.0,165.0,54.0
M,MAR,1992 Summer,Boxing,Bronze,27.0,174.0,57.0
F,URS,1968 Winter,Cross Country Skiing,Bronze,30.0,168.0,63.0
F,NED,2012 Summer,Rowing,Bronze,27.0,172.0,72.0
F,NED,2016 Summer,Rowing,Silver,31.0,172.0,72.0
M,NZL,1976 Summer,Hockey,Gold,27.0,179.0,68.0
M,GER,2002 Winter,Nordic Combined,Silver,24.0,184.0,69.0
M,GER,2002 Winter,Nordic Combined,Silver,24.0,184.0,69.0
M,GER,2006 Winter,Nordic Combined,Silver,28.0,184.0,69.0
M,SUI,1992 Winter,Bobsleigh,Gold,26.0,190.0,99.0
M,SUI,1992 Winter,Bobsleigh,Bronze,26.0,190.0,99.0
M,SUI,1994 Winter,Bobsleigh,Gold,28.0,190.0,99.0
M,SUI,1994 Winter,Bobsleigh,Silver,28.0,190.0,99.0
M,SUI,1994 Winter,Bobsleigh,Silver,24.0,200.0,104.0
M,ARG,2008 Summer,Football,Gold,20.0,168.0,72.0
M,CUB,2008 Summer,Boxing,Bronze,23.0,188.0,91.0
M,POL,1980 Summer,Boxing,Bronze,23.0,162.0,60.0
M,TCH,1976 Summer,Modern Pentathlon,Silver,25.0,187.0,83.0
M,CAN,2006 Winter,Curling,Gold,24.0,175.0,95.0
M,POL,1992 Summer,Football,Silver,22.0,179.0,78.0
M,USA,1912 Summer,Athletics,Silver,22.0,188.0,78.0
M,USA,1912 Summer,Athletics,Bronze,22.0,188.0,78.0
M,GBR,1980 Summer,Judo,Silver,21.0,178.0,78.0
M,GBR,1984 Summer,Judo,Silver,25.0,178.0,78.0
F,GBR,2012 Summer,Boxing,Gold,29.0,164.0,51.0
F,GBR,2016 Summer,Boxing,Gold,33.0,164.0,51.0
M,USA,1912 Summer,Athletics,Gold,27.0,188.0,78.0
M,USA,1912 Summer,Athletics,Silver,27.0,188.0,78.0
F,USA,2016 Summer,Volleyball,Bronze,26.0,188.0,81.0
F,GBR,2014 Winter,Curling,Bronze,24.0,164.0,69.0
F,NZL,2008 Summer,Athletics,Gold,23.0,193.0,120.0
F,NZL,2012 Summer,Athletics,Gold,27.0,193.0,120.0
F,NZL,2016 Summer,Athletics,Silver,31.0,193.0,120.0
M,GER,2012 Summer,Rowing,Gold,29.0,189.0,87.0
M,POL,1960 Summer,Boxing,Silver,23.0,171.0,58.0
M,GHA,1992 Summer,Football,Bronze,17.0,180.0,79.0
M,NGR,2008 Summer,Football,Silver,22.0,181.0,82.0
M,NGR,2008 Summer,Football,Silver,19.0,190.0,80.0
M,BRA,1984 Summer,Football,Silver,24.0,179.0,74.0
M,BRA,1988 Summer,Football,Silver,28.0,179.0,74.0
