Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,GBR,2004 Summer,Athletics,Gold,28.0,183.0,76.0
M,ITA,2000 Summer,Sailing,Silver,37.0,190.0,95.0
M,BLR,2008 Summer,Athletics,Silver,31.0,192.0,115.0
M,URS,1988 Winter,Cross Country Skiing,Gold,28.0,185.0,74.0
M,URS,1988 Winter,Cross Country Skiing,Silver,28.0,185.0,74.0
M,AUS,1996 Summer,Swimming,Bronze,20.0,178.0,82.0
M,CAN,1984 Summer,Boxing,Silver,23.0,189.0,91.0
M,POL,1972 Summer,Football,Gold,24.0,179.0,72.0
M,POL,1976 Summer,Football,Silver,28.0,179.0,72.0
M,ITA,1960 Summer,Canoeing,Silver,21.0,165.0,67.0
M,CAN,1956 Summer,Rowing,Gold,20.0,193.0,88.0
M,CAN,1960 Summer,Rowing,Silver,23.0,193.0,88.0
F,BEL,2016 Summer,Cycling,Bronze,26.0,176.0,64.0
M,ITA,1956 Summer,Equestrianism,Bronze,33.0,174.0,64.0
M,ITA,1956 Summer,Equestrianism,Silver,33.0,174.0,64.0
M,ITA,1960 Summer,Equestrianism,Silver,37.0,174.0,64.0
M,ITA,1960 Summer,Equestrianism,Bronze,37.0,174.0,64.0
M,ITA,1964 Summer,Equestrianism,Bronze,41.0,174.0,64.0
M,ITA,1972 Summer,Equestrianism,Bronze,49.0,174.0,64.0
M,ITA,1956 Summer,Equestrianism,Silver,31.0,176.0,72.0
M,ITA,1956 Summer,Equestrianism,Silver,31.0,176.0,72.0
M,ITA,1960 Summer,Equestrianism,Gold,35.0,176.0,72.0
M,ITA,1960 Summer,Equestrianism,Bronze,35.0,176.0,72.0
M,ITA,1964 Summer,Equestrianism,Bronze,39.0,176.0,72.0
M,ITA,1972 Summer,Equestrianism,Bronze,47.0,176.0,72.0
M,ITA,2000 Summer,Archery,Silver,34.0,175.0,90.0
M,ITA,2008 Summer,Archery,Silver,42.0,175.0,90.0
M,ITA,1984 Summer,Rowing,Gold,26.0,155.0,53.0
M,ITA,1988 Summer,Rowing,Gold,30.0,155.0,53.0
M,ITA,1992 Summer,Rowing,Silver,34.0,155.0,53.0
M,ITA,2002 Winter,Cross Country Skiing,Silver,29.0,174.0,67.0
M,ITA,2006 Winter,Cross Country Skiing,Gold,33.0,174.0,67.0
M,ITA,2006 Winter,Cross Country Skiing,Gold,33.0,174.0,67.0
F,ITA,1992 Winter,Cross Country Skiing,Bronze,29.0,164.0,55.0
F,ITA,1994 Winter,Cross Country Skiing,Silver,31.0,164.0,55.0
F,ITA,1994 Winter,Cross Country Skiing,Gold,31.0,164.0,55.0
F,ITA,1994 Winter,Cross Country Skiing,Bronze,31.0,164.0,55.0
F,ITA,1998 Winter,Cross Country Skiing,Bronze,35.0,164.0,55.0
M,RSA,2004 Summer,Rowing,Bronze,29.0,192.0,89.0
M,ITA,2016 Summer,Rowing,Bronze,24.0,184.0,87.0
M,ITA,1996 Summer,Shooting,Gold,27.0,177.0,75.0
M,ITA,1996 Summer,Shooting,Bronze,27.0,177.0,75.0
F,ITA,2012 Summer,Fencing,Gold,29.0,177.0,65.0
F,ITA,2012 Summer,Fencing,Gold,29.0,177.0,65.0
F,ITA,2016 Summer,Fencing,Silver,33.0,177.0,65.0
M,ITA,2016 Summer,Water Polo,Bronze,22.0,190.0,88.0
F,ARG,2004 Summer,Hockey,Bronze,28.0,163.0,59.0
M,ARG,2008 Summer,Football,Gold,20.0,167.0,55.0
F,ITA,2004 Summer,Water Polo,Gold,25.0,168.0,62.0
F,ITA,2016 Summer,Water Polo,Silver,37.0,168.0,62.0
M,FRA,2000 Summer,Fencing,Silver,33.0,182.0,79.0
M,FRA,2000 Summer,Tennis,Bronze,21.0,185.0,80.0
M,SEN,1988 Summer,Athletics,Silver,29.0,190.0,72.0
F,ROU,1984 Summer,Rowing,Silver,21.0,178.0,80.0
F,GBR,2016 Summer,Athletics,Bronze,25.0,173.0,58.0
M,AUS,1996 Summer,Shooting,Gold,24.0,174.0,75.0
M,AUS,2000 Summer,Shooting,Gold,28.0,174.0,75.0
M,DOM,2008 Summer,Boxing,Gold,24.0,165.0,66.0
M,CUB,1992 Summer,Baseball,Gold,21.0,186.0,77.0
F,PHI,2016 Summer,Weightlifting,Silver,25.0,149.0,53.0
M,PAR,2004 Summer,Football,Silver,22.0,174.0,73.0
M,ROU,1976 Summer,Canoeing,Gold,21.0,182.0,86.0
M,ROU,1976 Summer,Canoeing,Bronze,21.0,182.0,86.0
M,ROU,1980 Summer,Canoeing,Bronze,25.0,182.0,86.0
M,ROU,1980 Summer,Canoeing,Silver,25.0,182.0,86.0
F,ETH,2004 Summer,Athletics,Silver,22.0,162.0,47.0
F,ETH,2016 Summer,Athletics,Silver,25.0,168.0,52.0
F,ETH,2016 Summer,Athletics,Bronze,26.0,156.0,45.0
F,ETH,2004 Summer,Athletics,Bronze,19.0,166.0,50.0
F,ETH,2008 Summer,Athletics,Gold,23.0,166.0,50.0
F,ETH,2012 Summer,Athletics,Bronze,27.0,166.0,50.0
F,ETH,2012 Summer,Athletics,Gold,27.0,166.0,50.0
F,ETH,2016 Summer,Athletics,Bronze,31.0,166.0,50.0
M,ITA,1964 Summer,Diving,Silver,17.0,180.0,74.0
M,ITA,1968 Summer,Diving,Silver,21.0,180.0,74.0
M,ITA,1968 Summer,Diving,Gold,21.0,180.0,74.0
M,ITA,1972 Summer,Diving,Gold,24.0,180.0,74.0
M,ITA,1976 Summer,Diving,Gold,28.0,180.0,74.0
M,GER,2008 Summer,Equestrianism,Gold,42.0,181.0,73.0
M,USA,1984 Summer,Swimming,Gold,21.0,180.0,74.0
M,USA,1984 Summer,Swimming,Silver,21.0,180.0,74.0
F,GBR,2008 Summer,Equestrianism,Bronze,36.0,168.0,55.0
F,GER,1992 Summer,Hockey,Silver,23.0,176.0,70.0
M,USA,1996 Summer,Baseball,Bronze,21.0,188.0,94.0
M,NZL,1968 Summer,Rowing,Gold,17.0,172.0,54.0
M,NZL,1972 Summer,Rowing,Gold,21.0,172.0,54.0
M,NZL,1976 Summer,Rowing,Bronze,25.0,172.0,54.0
M,AUS,1960 Summer,Swimming,Bronze,19.0,179.0,76.0
M,AUS,1964 Summer,Swimming,Bronze,23.0,179.0,76.0
M,AUS,1964 Summer,Swimming,Bronze,23.0,179.0,76.0
M,AUS,1968 Summer,Rowing,Silver,23.0,195.0,98.0
M,ROU,1980 Summer,Wrestling,Bronze,26.0,183.0,92.0
M,BRA,1996 Summer,Football,Bronze,22.0,195.0,85.0
M,URS,1972 Summer,Canoeing,Gold,26.0,192.0,94.0
M,NOR,1976 Winter,Speed Skating,Silver,22.0,179.0,76.0
F,USA,1932 Summer,Athletics,Gold,21.0,169.0,57.0
F,USA,1932 Summer,Athletics,Silver,21.0,169.0,57.0
F,USA,1932 Summer,Athletics,Gold,21.0,169.0,57.0
F,CAN,1998 Winter,Ice Hockey,Silver,31.0,168.0,63.0
M,URS,1988 Summer,Rowing,Silver,31.0,195.0,95.0
M,LTU,2016 Summer,Weightlifting,Bronze,25.0,172.0,94.0
M,USA,1992 Summer,Swimming,Gold,21.0,183.0,84.0
M,BRA,2008 Summer,Football,Bronze,23.0,173.0,73.0
M,USA,1984 Summer,Athletics,Bronze,22.0,176.0,64.0
F,AUS,1996 Summer,Softball,Bronze,27.0,174.0,65.0
F,AUS,2000 Summer,Softball,Bronze,31.0,174.0,65.0
M,NED,1988 Summer,Hockey,Bronze,32.0,173.0,72.0
F,GDR,1980 Summer,Swimming,Bronze,16.0,175.0,64.0
F,GDR,1980 Summer,Swimming,Silver,16.0,175.0,64.0
F,GDR,1980 Summer,Swimming,Gold,16.0,175.0,64.0
F,GDR,1980 Summer,Swimming,Silver,16.0,175.0,64.0
F,GDR,1980 Summer,Swimming,Gold,16.0,175.0,64.0
M,FRG,1976 Summer,Sailing,Gold,22.0,187.0,76.0
M,FRG,1976 Summer,Sailing,Gold,24.0,186.0,71.0
M,GDR,1976 Summer,Rowing,Silver,21.0,189.0,83.0
M,GDR,1980 Summer,Rowing,Gold,25.0,189.0,83.0
M,GDR,1976 Summer,Rowing,Silver,21.0,188.0,84.0
M,GDR,1980 Summer,Rowing,Gold,25.0,188.0,84.0
M,AUT,2014 Winter,Ski Jumping,Silver,21.0,172.0,60.0
F,SUI,2016 Summer,Shooting,Bronze,47.0,168.0,93.0
M,GDR,1968 Summer,Gymnastics,Bronze,26.0,163.0,50.0
M,GER,1956 Summer,Wrestling,Silver,23.0,184.0,118.0
M,GER,1960 Summer,Wrestling,Silver,26.0,184.0,118.0
M,GER,1960 Summer,Wrestling,Gold,26.0,184.0,118.0
M,GER,1964 Summer,Wrestling,Bronze,30.0,184.0,118.0
M,FRG,1968 Summer,Wrestling,Bronze,34.0,184.0,118.0
M,SUI,1984 Summer,Wrestling,Bronze,21.0,165.0,68.0
F,GER,2012 Summer,Canoeing,Gold,24.0,172.0,68.0
F,GER,2012 Summer,Canoeing,Silver,24.0,172.0,68.0
F,GER,2016 Summer,Canoeing,Silver,28.0,172.0,68.0
F,GER,2016 Summer,Canoeing,Silver,28.0,172.0,68.0
M,BUL,1956 Summer,Football,Bronze,22.0,183.0,90.0
F,FRA,2012 Summer,Basketball,Silver,25.0,190.0,82.0
M,NZL,1976 Summer,Rowing,Bronze,21.0,191.0,89.0
F,NOR,1988 Summer,Handball,Silver,21.0,162.0,57.0
F,NED,1960 Winter,Figure Skating,Silver,18.0,169.0,54.0
F,NED,1964 Winter,Figure Skating,Gold,21.0,169.0,54.0
F,NED,2008 Summer,Hockey,Gold,24.0,162.0,57.0
M,KAZ,2000 Summer,Boxing,Silver,24.0,190.0,97.0
M,AUS,1992 Summer,Hockey,Silver,21.0,178.0,86.0
M,AUS,1996 Summer,Hockey,Bronze,25.0,178.0,86.0
M,AUS,2000 Summer,Hockey,Bronze,29.0,178.0,86.0
M,SUI,1980 Summer,Cycling,Gold,21.0,179.0,78.0
M,USA,1948 Summer,Athletics,Gold,25.0,178.0,69.0
M,USA,1948 Summer,Athletics,Gold,25.0,178.0,69.0
M,USA,1952 Summer,Athletics,Gold,29.0,178.0,69.0
M,USA,1952 Summer,Athletics,Gold,29.0,178.0,69.0
M,USA,1964 Summer,Swimming,Silver,19.0,186.0,75.0
M,USA,1952 Summer,Athletics,Bronze,23.0,188.0,99.0
F,BUL,1976 Summer,Basketball,Bronze,24.0,185.0,79.0
F,BUL,1980 Summer,Basketball,Silver,28.0,185.0,79.0
M,GRE,1992 Summer,Weightlifting,Gold,20.0,173.0,83.0
M,GRE,1996 Summer,Weightlifting,Gold,24.0,173.0,83.0
M,GRE,2000 Summer,Weightlifting,Gold,28.0,173.0,83.0
M,GRE,2004 Summer,Weightlifting,Bronze,32.0,173.0,83.0
M,USA,1992 Summer,Gymnastics,Gold,21.0,172.0,68.0
M,LTU,1992 Summer,Basketball,Bronze,24.0,204.0,95.0
M,BUL,1980 Summer,Volleyball,Silver,28.0,186.0,82.0
M,BUL,1980 Summer,Weightlifting,Silver,22.0,159.0,59.0
M,BUL,1968 Summer,Football,Silver,21.0,176.0,69.0
M,BUL,1968 Summer,Football,Silver,25.0,177.0,76.0
F,BUL,1980 Summer,Volleyball,Bronze,25.0,178.0,62.0
F,BUL,1980 Summer,Volleyball,Bronze,23.0,178.0,70.0
M,GDR,1972 Summer,Rowing,Bronze,22.0,197.0,87.0
M,FRA,1968 Summer,Fencing,Gold,23.0,184.0,80.0
M,ESP,1960 Summer,Hockey,Bronze,20.0,175.0,68.0
M,ESP,1996 Summer,Hockey,Silver,26.0,173.0,73.0
M,FRA,2008 Summer,Handball,Gold,31.0,197.0,104.0
M,FRA,2012 Summer,Handball,Gold,35.0,197.0,104.0
M,ROU,1972 Summer,Handball,Bronze,26.0,182.0,82.0
M,CAN,1968 Winter,Ice Hockey,Bronze,24.0,177.0,77.0
M,RUS,2004 Summer,Volleyball,Bronze,30.0,215.0,101.0
M,CHN,2012 Summer,Shooting,Bronze,25.0,175.0,80.0
F,CHN,2000 Summer,Weightlifting,Gold,20.0,168.0,102.0
F,CHN,2012 Summer,Table Tennis,Silver,22.0,171.0,63.0
F,CHN,2012 Summer,Table Tennis,Gold,22.0,171.0,63.0
F,CHN,2016 Summer,Table Tennis,Gold,26.0,171.0,63.0
F,CHN,2016 Summer,Table Tennis,Gold,26.0,171.0,63.0
F,CHN,2016 Summer,Volleyball,Gold,26.0,180.0,67.0
F,USA,2004 Summer,Water Polo,Bronze,24.0,167.0,58.0
F,ROU,2016 Summer,Fencing,Gold,32.0,168.0,60.0
M,URS,1964 Summer,Gymnastics,Silver,21.0,172.0,72.0
M,URS,1968 Summer,Gymnastics,Silver,25.0,172.0,72.0
M,URS,1968 Summer,Gymnastics,Bronze,25.0,172.0,72.0
F,CAN,2002 Winter,Freestyle Skiing,Bronze,20.0,164.0,57.0
M,FRA,2000 Summer,Basketball,Silver,28.0,196.0,90.0
M,FRA,2016 Summer,Handball,Silver,28.0,202.0,105.0
F,USA,2016 Summer,Swimming,Gold,23.0,175.0,65.0
F,USA,2016 Summer,Swimming,Bronze,23.0,175.0,65.0
F,USA,2016 Summer,Swimming,Silver,23.0,175.0,65.0
F,USA,2004 Summer,Rowing,Silver,28.0,185.0,81.0
F,NED,2012 Summer,Hockey,Gold,25.0,170.0,56.0
F,NED,2016 Summer,Hockey,Silver,29.0,170.0,56.0
M,USA,2004 Summer,Boxing,Bronze,21.0,185.0,74.0
M,USA,1960 Summer,Basketball,Gold,19.0,198.0,86.0
F,GER,1992 Winter,Biathlon,Silver,21.0,163.0,57.0
F,GER,1994 Winter,Biathlon,Bronze,23.0,163.0,57.0
F,GER,1994 Winter,Biathlon,Silver,23.0,163.0,57.0
F,GER,1998 Winter,Biathlon,Silver,27.0,163.0,57.0
F,GER,1998 Winter,Biathlon,Bronze,27.0,163.0,57.0
F,GER,1998 Winter,Biathlon,Gold,27.0,163.0,57.0
F,GER,2002 Winter,Biathlon,Silver,31.0,163.0,57.0
F,GER,2002 Winter,Biathlon,Gold,31.0,163.0,57.0
F,GER,2006 Winter,Biathlon,Bronze,35.0,163.0,57.0
M,GBR,1952 Summer,Athletics,Bronze,23.0,180.0,71.0
M,USA,1960 Winter,Speed Skating,Silver,27.0,169.0,64.0
M,GER,2016 Summer,Handball,Bronze,24.0,203.0,105.0
F,ROU,2008 Summer,Athletics,Gold,38.0,160.0,48.0
M,GDR,1988 Summer,Cycling,Bronze,27.0,186.0,86.0
M,GER,1992 Summer,Cycling,Gold,31.0,186.0,86.0
M,GER,1996 Summer,Canoeing,Gold,24.0,183.0,83.0
M,GER,2000 Summer,Canoeing,Bronze,28.0,183.0,83.0
M,GER,2000 Summer,Canoeing,Gold,28.0,183.0,83.0
M,GER,2004 Summer,Canoeing,Gold,32.0,183.0,83.0
M,GER,2004 Summer,Canoeing,Silver,32.0,183.0,83.0
M,URS,1976 Summer,Gymnastics,Silver,18.0,178.0,70.0
M,URS,1976 Summer,Gymnastics,Silver,18.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Gold,22.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Gold,22.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Bronze,22.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Silver,22.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Silver,22.0,178.0,70.0
M,URS,1980 Summer,Gymnastics,Gold,22.0,178.0,70.0
M,YUG,1988 Summer,Basketball,Silver,20.0,213.0,110.0
M,SCG,1996 Summer,Basketball,Silver,28.0,213.0,110.0
M,TCH,1960 Winter,Figure Skating,Silver,23.0,177.0,73.0
M,USA,2008 Summer,Athletics,Bronze,22.0,175.0,80.0
M,USA,2008 Summer,Athletics,Bronze,22.0,175.0,80.0
M,USA,1948 Summer,Athletics,Bronze,22.0,188.0,72.0
F,USA,2012 Summer,Athletics,Gold,20.0,168.0,51.0
F,USA,1984 Summer,Athletics,Gold,19.0,165.0,54.0
F,USA,1988 Summer,Athletics,Silver,23.0,165.0,54.0
F,USA,1992 Summer,Basketball,Bronze,29.0,190.0,75.0
M,GBR,1964 Winter,Bobsleigh,Gold,28.0,178.0,83.0
M,NZL,1972 Summer,Athletics,Bronze,22.0,186.0,70.0
F,GBR,1992 Summer,Hockey,Bronze,32.0,170.0,73.0
M,ARG,1988 Summer,Volleyball,Bronze,23.0,196.0,90.0
M,FRA,2008 Summer,Boxing,Silver,24.0,164.0,57.0
F,YUG,1984 Summer,Handball,Gold,24.0,174.0,73.0
F,POL,1980 Summer,Rowing,Silver,21.0,177.0,70.0
M,EUN,1992 Winter,Figure Skating,Gold,24.0,183.0,82.0
M,RUS,1994 Winter,Figure Skating,Silver,26.0,183.0,82.0
M,RUS,1998 Winter,Figure Skating,Gold,30.0,183.0,82.0
M,RUS,2016 Summer,Cycling,Bronze,30.0,177.0,90.0
M,URS,1972 Summer,Wrestling,Gold,23.0,154.0,48.0
M,URS,1976 Summer,Wrestling,Silver,27.0,154.0,48.0
F,RUS,2016 Summer,Handball,Gold,20.0,178.0,74.0
F,RUS,2008 Summer,Handball,Silver,25.0,175.0,66.0
M,URS,1980 Summer,Rowing,Bronze,35.0,152.0,52.0
M,FRA,1948 Summer,Fencing,Silver,19.0,178.0,75.0
M,FRA,1948 Summer,Fencing,Gold,19.0,178.0,75.0
M,FRA,1952 Summer,Fencing,Gold,23.0,178.0,75.0
M,FRA,1952 Summer,Fencing,Gold,23.0,178.0,75.0
M,FRA,1956 Summer,Fencing,Gold,28.0,178.0,75.0
M,FRA,1956 Summer,Fencing,Silver,28.0,178.0,75.0
M,AUS,2012 Summer,Swimming,Bronze,21.0,190.0,84.0
F,ITA,2004 Summer,Rhythmic Gymnastics,Silver,19.0,173.0,52.0
M,FRG,1988 Summer,Athletics,Bronze,24.0,185.0,82.0
F,GDR,1988 Summer,Rowing,Gold,23.0,183.0,76.0
M,GDR,1980 Summer,Rowing,Gold,22.0,190.0,81.0
F,GER,1992 Summer,Fencing,Silver,24.0,172.0,60.0
M,URS,1988 Summer,Football,Gold,21.0,181.0,70.0
F,URS,1988 Summer,Shooting,Bronze,27.0,154.0,63.0
F,EUN,1992 Summer,Shooting,Gold,30.0,154.0,63.0
F,RUS,1996 Summer,Shooting,Silver,34.0,154.0,63.0
F,RUS,1996 Summer,Shooting,Bronze,34.0,154.0,63.0
F,USA,2004 Summer,Synchronized Swimming,Bronze,21.0,167.0,63.0
F,ROU,1988 Summer,Gymnastics,Silver,15.0,146.0,42.0
M,ROU,1988 Summer,Rowing,Silver,21.0,192.0,85.0
M,ROU,1992 Summer,Rowing,Silver,25.0,192.0,85.0
M,ROU,1956 Summer,Boxing,Silver,26.0,150.0,51.0
M,BUL,1980 Summer,Rowing,Bronze,22.0,189.0,88.0
M,BUL,1956 Summer,Wrestling,Silver,25.0,175.0,79.0
M,BUL,1960 Summer,Wrestling,Gold,29.0,175.0,79.0
M,BUL,2004 Summer,Weightlifting,Gold,24.0,177.0,94.0
F,ROU,1980 Summer,Rowing,Bronze,22.0,151.0,45.0
M,RUS,2000 Summer,Diving,Silver,18.0,175.0,65.0
M,RUS,2008 Summer,Diving,Bronze,24.0,167.0,57.0
M,POL,1932 Summer,Fencing,Bronze,36.0,170.0,74.0
F,UKR,2008 Summer,Athletics,Gold,26.0,182.0,70.0
F,AUS,1996 Summer,Hockey,Gold,23.0,173.0,67.0
M,CRO,2012 Summer,Water Polo,Gold,26.0,199.0,118.0
M,NZL,2004 Summer,Triathlon,Silver,27.0,185.0,71.0
M,NZL,2008 Summer,Triathlon,Bronze,31.0,185.0,71.0
M,BEL,2016 Summer,Hockey,Silver,26.0,175.0,74.0
M,BRA,1996 Summer,Equestrianism,Bronze,23.0,186.0,86.0
M,BRA,2000 Summer,Equestrianism,Bronze,27.0,186.0,86.0
M,GBR,1984 Summer,Hockey,Bronze,25.0,181.0,72.0
M,GBR,1988 Summer,Hockey,Gold,29.0,181.0,72.0
F,FRA,2008 Summer,Archery,Bronze,34.0,173.0,86.0
M,SWE,2012 Summer,Handball,Silver,33.0,182.0,80.0
M,AUS,2000 Summer,Rowing,Bronze,28.0,200.0,98.0
M,USA,1992 Summer,Athletics,Silver,30.0,183.0,120.0
M,GDR,1980 Summer,Handball,Gold,29.0,187.0,88.0
M,AUS,2008 Summer,Hockey,Bronze,28.0,192.0,90.0
F,USA,1960 Summer,Swimming,Gold,15.0,164.0,50.0
M,ROU,1984 Summer,Handball,Bronze,24.0,195.0,94.0
F,GER,2004 Summer,Trampolining,Gold,31.0,158.0,52.0
M,USA,1928 Summer,Athletics,Bronze,23.0,185.0,75.0
M,BEL,2016 Summer,Hockey,Silver,28.0,174.0,69.0
M,GDR,1976 Summer,Rowing,Gold,25.0,196.0,96.0
M,GDR,1980 Summer,Rowing,Gold,29.0,196.0,96.0
F,USA,1992 Winter,Short Track Speed Skating,Silver,19.0,165.0,64.0
M,CZE,1996 Summer,Canoeing,Gold,22.0,178.0,78.0
M,CZE,1996 Summer,Canoeing,Gold,22.0,178.0,78.0
M,UZB,2004 Summer,Wrestling,Gold,24.0,169.0,74.0
M,USA,1996 Summer,Swimming,Gold,20.0,201.0,86.0
M,USA,2000 Summer,Swimming,Silver,24.0,201.0,86.0
M,USA,2000 Summer,Swimming,Gold,24.0,201.0,86.0
M,TCH,1964 Winter,Ice Hockey,Bronze,26.0,172.0,78.0
M,USA,1908 Summer,Wrestling,Gold,23.0,161.0,60.0
M,TCH,1952 Summer,Athletics,Silver,31.0,173.0,67.0
F,RUS,1996 Summer,Gymnastics,Silver,16.0,149.0,38.0
M,URS,1968 Summer,Water Polo,Silver,22.0,187.0,99.0
M,URS,1972 Summer,Water Polo,Gold,26.0,187.0,99.0
M,URS,1980 Summer,Swimming,Bronze,20.0,190.0,77.0
M,URS,1976 Summer,Rowing,Bronze,22.0,191.0,87.0
M,URS,1980 Summer,Rowing,Silver,26.0,191.0,87.0
M,ROU,1972 Summer,Wrestling,Bronze,21.0,186.0,150.0
M,ROU,1984 Summer,Wrestling,Bronze,33.0,186.0,150.0
M,AUT,1972 Summer,Shooting,Bronze,28.0,183.0,74.0
M,AUT,1976 Summer,Shooting,Bronze,32.0,183.0,74.0
M,NED,1964 Summer,Cycling,Gold,18.0,178.0,71.0
M,ROU,2012 Summer,Fencing,Silver,24.0,179.0,79.0
F,URS,1980 Summer,Athletics,Silver,35.0,173.0,83.0
F,AUS,2004 Summer,Softball,Silver,26.0,178.0,70.0
M,URS,1972 Summer,Volleyball,Bronze,25.0,187.0,83.0
F,GDR,1976 Summer,Gymnastics,Bronze,16.0,159.0,44.0
F,GDR,1976 Summer,Gymnastics,Silver,16.0,159.0,44.0
M,HUN,2012 Summer,Canoeing,Gold,25.0,180.0,79.0
M,GDR,1980 Summer,Athletics,Gold,21.0,187.0,87.0
M,CUB,1972 Summer,Basketball,Bronze,22.0,192.0,88.0
M,FRG,1988 Summer,Rowing,Gold,24.0,198.0,91.0
M,BRA,1984 Summer,Volleyball,Silver,23.0,198.0,92.0
F,ESP,2016 Summer,Basketball,Silver,29.0,167.0,64.0
M,CRO,2004 Summer,Handball,Gold,26.0,203.0,100.0
F,RUS,2010 Winter,Figure Skating,Bronze,25.0,173.0,56.0
M,FIJ,2016 Summer,Rugby Sevens,Gold,27.0,192.0,98.0
F,HUN,1960 Summer,Fencing,Silver,24.0,165.0,55.0
F,HUN,1964 Summer,Fencing,Gold,28.0,165.0,55.0
F,HUN,1968 Summer,Fencing,Silver,32.0,165.0,55.0
M,HUN,1960 Summer,Water Polo,Bronze,25.0,186.0,84.0
M,HUN,1964 Summer,Water Polo,Gold,29.0,186.0,84.0
M,HUN,1968 Summer,Water Polo,Bronze,33.0,186.0,84.0
M,GER,1936 Summer,Athletics,Bronze,21.0,174.0,60.0
F,BLR,2010 Winter,Biathlon,Bronze,23.0,168.0,58.0
F,BLR,2014 Winter,Biathlon,Gold,27.0,168.0,58.0
F,BLR,2014 Winter,Biathlon,Gold,27.0,168.0,58.0
F,BLR,2014 Winter,Biathlon,Gold,27.0,168.0,58.0
M,ITA,2004 Summer,Football,Bronze,21.0,178.0,72.0
M,ITA,2006 Winter,Speed Skating,Gold,29.0,184.0,74.0
F,USA,2012 Summer,Swimming,Gold,23.0,170.0,63.0
M,USA,1912 Summer,Athletics,Silver,27.0,172.0,61.0
M,USA,2008 Summer,Baseball,Bronze,23.0,185.0,86.0
M,HUN,1980 Summer,Gymnastics,Bronze,26.0,165.0,58.0
F,GER,1960 Summer,Athletics,Bronze,29.0,166.0,55.0
M,ITA,2012 Summer,Athletics,Bronze,35.0,189.0,83.0
F,ROU,1980 Summer,Equestrianism,Bronze,34.0,176.0,72.0
M,BUL,1968 Summer,Football,Silver,23.0,178.0,77.0
M,CHN,2016 Summer,Athletics,Bronze,27.0,180.0,74.0
M,CHN,2008 Summer,Trampolining,Bronze,19.0,168.0,57.0
M,CHN,2012 Summer,Trampolining,Gold,23.0,168.0,57.0
M,CHN,2016 Summer,Trampolining,Silver,27.0,168.0,57.0
M,CHN,1996 Summer,Badminton,Silver,22.0,179.0,68.0
M,CHN,2000 Summer,Fencing,Silver,26.0,178.0,75.0
M,CHN,2004 Summer,Fencing,Silver,30.0,178.0,75.0
F,RUS,2004 Summer,Judo,Bronze,28.0,175.0,109.5
M,USA,1992 Summer,Diving,Silver,23.0,175.0,77.0
F,BUL,1988 Summer,Athletics,Gold,26.0,175.0,67.0
F,BUL,1992 Summer,Athletics,Bronze,30.0,175.0,67.0
M,USA,1928 Summer,Rowing,Gold,21.0,185.0,79.0
F,NED,1996 Summer,Hockey,Bronze,22.0,170.0,59.0
F,NED,2000 Summer,Hockey,Bronze,26.0,170.0,59.0
F,NED,2004 Summer,Hockey,Silver,30.0,170.0,59.0
F,USA,1992 Summer,Rowing,Silver,27.0,170.0,67.0
F,USA,1984 Summer,Basketball,Gold,22.0,203.0,62.0
F,USA,1988 Summer,Basketball,Gold,26.0,203.0,62.0
F,RUS,2012 Summer,Rhythmic Gymnastics,Gold,19.0,176.0,57.0
F,HUN,1992 Summer,Canoeing,Bronze,24.0,170.0,60.0
F,HUN,1992 Summer,Canoeing,Gold,24.0,170.0,60.0
M,POL,1988 Summer,Canoeing,Silver,28.0,181.0,75.0
M,POL,1988 Summer,Canoeing,Bronze,28.0,181.0,75.0
M,CZE,1998 Winter,Ice Hockey,Gold,29.0,192.0,98.0
M,FRG,1984 Summer,Hockey,Silver,28.0,186.0,81.0
M,FRG,1988 Summer,Hockey,Silver,32.0,186.0,81.0
F,ESP,1992 Summer,Hockey,Gold,25.0,167.0,62.0
F,GER,1992 Summer,Rowing,Bronze,22.0,188.0,75.0
M,ITA,1952 Summer,Athletics,Gold,26.0,183.0,74.0
M,ESP,1988 Summer,Sailing,Gold,31.0,189.0,90.0
M,ESP,1984 Summer,Sailing,Gold,23.0,175.0,72.0
M,ESP,1992 Summer,Sailing,Gold,31.0,175.0,72.0
M,FRA,2000 Summer,Rowing,Gold,27.0,182.0,71.0
F,AUT,1998 Winter,Alpine Skiing,Silver,24.0,172.0,72.0
F,AUT,2006 Winter,Alpine Skiing,Gold,32.0,172.0,72.0
F,AUT,2006 Winter,Alpine Skiing,Gold,32.0,172.0,72.0
F,FRA,2010 Winter,Biathlon,Bronze,23.0,168.0,55.0
F,FRA,2010 Winter,Biathlon,Silver,23.0,168.0,55.0
F,ITA,1984 Summer,Athletics,Gold,27.0,168.0,55.0
M,GRE,1906 Summer,Athletics,Bronze,20.0,177.0,106.0
M,GRE,1908 Summer,Athletics,Silver,22.0,177.0,106.0
M,MGL,2016 Summer,Boxing,Bronze,28.0,170.0,60.0
M,MGL,1996 Summer,Judo,Bronze,20.0,162.0,60.0
