Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
Silver,26.0,170.0,65.0
Bronze,19.0,186.0,76.0
Silver,24.0,182.0,63.0
Bronze,26.0,192.0,83.0
Gold,21.0,162.0,46.0
Silver,29.0,187.0,126.0
Bronze,23.0,184.0,104.0
Silver,21.0,189.0,89.0
Silver,29.0,189.0,89.0
Bronze,30.0,180.0,73.0
Bronze,29.0,189.0,91.0
Bronze,29.0,170.0,60.0
Bronze,28.0,183.0,102.0
Bronze,24.0,190.0,84.0
Silver,21.0,170.0,70.0
Bronze,23.0,162.0,57.0
Bronze,25.0,157.0,53.0
Gold,19.0,155.0,53.0
Bronze,23.0,190.0,105.0
Gold,29.0,181.0,75.0
Silver,26.0,188.0,64.0
Bronze,20.0,196.0,85.0
Bronze,25.0,178.0,76.0
Bronze,17.0,157.0,58.0
Bronze,23.0,174.0,90.0
Gold,26.0,174.0,90.0
Silver,30.0,174.0,90.0
Bronze,29.0,170.0,60.0
Bronze,18.0,183.0,68.0
Gold,22.0,190.0,110.0
Bronze,26.0,190.0,110.0
Silver,22.0,174.0,71.0
Silver,22.0,159.0,63.0
Silver,25.0,168.0,60.0
Bronze,30.0,173.0,70.0
Silver,23.0,168.0,65.0
Silver,17.0,165.0,62.0
Gold,17.0,165.0,62.0
Silver,21.0,165.0,62.0
Gold,21.0,165.0,62.0
Silver,26.0,169.0,59.0
Silver,18.0,166.0,61.0
Gold,27.0,172.0,65.0
Silver,23.0,182.0,75.0
Bronze,27.0,182.0,75.0
Silver,22.0,174.0,59.0
Gold,20.0,168.0,53.0
Bronze,23.0,163.0,65.0
Gold,27.0,163.0,65.0
Gold,19.0,162.0,60.0
Silver,22.0,183.0,87.0
Silver,30.0,166.0,74.0
Bronze,22.0,205.0,105.0
Silver,26.0,196.0,101.0
Bronze,30.0,196.0,101.0
Gold,29.0,192.0,92.0
Bronze,33.0,192.0,92.0
Bronze,19.0,160.0,60.0
Silver,20.0,174.0,56.0
Bronze,29.0,161.0,55.0
Gold,33.0,161.0,55.0
Gold,26.0,176.0,74.0
Gold,18.0,155.0,44.0
Silver,18.0,155.0,44.0
Bronze,22.0,155.0,44.0
Gold,28.0,180.0,78.0
Gold,22.0,185.0,79.0
Silver,22.0,186.0,76.0
Silver,18.0,176.0,65.0
Bronze,23.0,198.0,86.0
Gold,22.0,176.0,80.0
Gold,20.0,180.0,77.0
Silver,28.0,175.0,74.0
Gold,24.0,175.0,68.0
Bronze,27.0,198.0,89.0
Silver,27.0,165.0,69.0
Gold,30.0,197.0,93.0
Silver,19.0,187.0,84.0
Bronze,27.0,182.0,78.0
Silver,28.0,189.0,94.0
Silver,28.0,189.0,94.0
Gold,32.0,189.0,94.0
Gold,22.0,180.0,82.0
Bronze,24.0,162.0,56.0
Bronze,30.0,165.0,58.0
Silver,20.0,186.0,78.0
Silver,19.0,173.0,67.0
Bronze,23.0,173.0,67.0
Silver,27.0,173.0,67.0
Silver,31.0,173.0,67.0
Gold,22.0,175.0,58.0
Bronze,26.0,175.0,58.0
Silver,28.0,188.0,73.0
Silver,28.0,188.0,73.0
Bronze,27.0,169.0,65.0
Gold,22.0,187.0,85.0
Gold,28.0,190.0,78.0
Silver,24.0,180.0,76.0
Gold,21.0,184.0,84.0
Gold,25.0,184.0,84.0
Gold,25.0,184.0,84.0
Gold,27.0,190.0,82.0
Bronze,24.0,190.0,106.0
Bronze,24.0,191.0,90.0
Silver,28.0,191.0,90.0
Gold,24.0,195.0,102.0
Gold,28.0,195.0,102.0
Bronze,30.0,150.0,48.0
Bronze,21.0,160.0,60.0
Bronze,19.0,188.0,71.0
Gold,17.0,153.0,43.0
Silver,33.0,153.0,43.0
Gold,26.0,178.0,76.0
Gold,25.0,170.0,66.0
Bronze,24.0,182.0,74.0
Bronze,21.0,180.0,84.0
Bronze,27.0,183.0,76.0
Bronze,31.0,175.0,80.0
Gold,21.0,195.0,80.0
Bronze,21.0,195.0,80.0
Bronze,25.0,195.0,80.0
Bronze,22.0,166.0,60.0
Silver,26.0,166.0,60.0
Gold,26.0,166.0,60.0
Gold,25.0,170.0,59.0
Gold,29.0,170.0,59.0
Bronze,21.0,184.0,92.0
Bronze,23.0,162.0,50.0
Bronze,23.0,157.0,52.0
Silver,21.0,195.0,83.0
Bronze,25.0,195.0,83.0
Gold,21.0,196.0,82.0
Bronze,39.0,175.0,73.0
Bronze,23.0,184.0,115.0
Bronze,27.0,172.0,57.0
Bronze,30.0,170.0,75.0
Bronze,22.0,165.0,54.0
Gold,15.0,165.0,50.0
Gold,33.0,154.0,55.0
Gold,20.0,178.0,72.0
Bronze,22.0,192.0,90.0
Silver,26.0,192.0,90.0
Bronze,30.0,192.0,90.0
Bronze,23.0,178.0,94.0
Bronze,26.0,182.0,83.0
Silver,26.0,197.0,86.0
Gold,22.0,186.0,80.0
Bronze,25.0,179.0,69.0
Bronze,26.0,169.0,53.0
Bronze,21.0,195.0,91.0
Silver,25.0,195.0,91.0
Gold,22.0,180.0,75.0
Bronze,26.0,191.0,82.0
Bronze,25.0,179.0,100.0
Gold,23.0,185.0,79.0
Gold,27.0,185.0,79.0
Bronze,27.0,185.0,79.0
Gold,31.0,185.0,79.0
Silver,27.0,170.0,59.0
Silver,22.0,191.0,90.0
Silver,25.0,196.0,85.0
Bronze,17.0,168.0,61.0
Silver,23.0,188.0,84.0
Silver,20.0,176.0,73.0
Silver,24.0,193.0,93.0
Gold,26.0,193.0,91.0
Silver,26.0,190.0,89.0
Silver,24.0,176.0,59.0
Gold,18.0,163.0,61.0
Bronze,26.0,163.0,61.0
Bronze,30.0,163.0,61.0
Gold,26.0,188.0,72.0
Bronze,22.0,172.0,65.0
Bronze,29.0,155.0,54.0
Bronze,33.0,155.0,54.0
Silver,32.0,176.0,68.0
Gold,36.0,176.0,68.0
Silver,20.0,170.0,52.0
Gold,20.0,170.0,52.0
Gold,17.0,180.0,67.0
Gold,17.0,180.0,67.0
Gold,21.0,180.0,67.0
Gold,21.0,180.0,67.0
Gold,21.0,180.0,67.0
Bronze,20.0,178.0,78.0
Bronze,15.0,166.0,56.0
Gold,23.0,182.0,76.0
Gold,22.0,178.0,70.0
Bronze,27.0,183.0,72.0
Bronze,19.0,195.0,91.0
Silver,31.0,165.0,58.0
Gold,35.0,165.0,58.0
Gold,23.0,185.0,84.0
Gold,25.0,174.0,60.0
Bronze,27.0,174.0,60.0
Silver,25.0,192.0,84.0
Bronze,25.0,170.0,67.0
Gold,21.0,162.0,53.0
Gold,25.0,162.0,53.0
Gold,29.0,162.0,53.0
Silver,33.0,162.0,53.0
Silver,23.0,206.0,107.0
Bronze,27.0,206.0,107.0
Gold,24.0,193.0,91.0
Silver,24.0,180.0,83.0
Gold,28.0,180.0,83.0
Gold,18.0,187.0,80.0
Silver,25.0,191.0,79.0
Bronze,37.0,180.0,72.0
Bronze,21.0,181.0,72.0
Silver,21.0,181.0,72.0
Silver,25.0,181.0,72.0
Gold,27.0,185.0,86.0
Gold,23.0,178.0,76.0
Silver,21.0,178.0,79.0
Gold,25.0,178.0,79.0
Gold,20.0,172.0,59.0
Gold,31.0,163.0,56.0
Silver,22.0,188.0,86.0
Gold,22.0,188.0,86.0
Gold,30.0,188.0,86.0
Gold,25.0,180.0,74.0
Bronze,21.0,178.0,73.0
Silver,17.0,173.0,60.0
Gold,26.0,182.0,77.0
Silver,32.0,170.0,60.0
Silver,36.0,170.0,60.0
Silver,26.0,179.0,72.0
Bronze,21.0,160.0,60.0
Gold,25.0,160.0,60.0
Silver,19.0,179.0,76.0
Silver,27.0,182.0,69.0
Gold,24.0,172.0,71.0
Silver,27.0,172.0,71.0
Gold,24.0,170.0,58.0
Silver,25.0,170.0,64.0
Bronze,25.0,170.0,64.0
Bronze,32.0,188.0,114.0
Silver,21.0,165.0,60.0
Gold,22.0,167.0,56.0
Bronze,25.0,183.0,70.0
Bronze,34.0,177.0,72.0
Silver,20.0,178.0,71.0
Silver,26.0,170.0,63.0
Silver,30.0,183.0,90.0
Bronze,25.0,173.0,54.0
Bronze,25.0,174.0,80.0
Gold,21.0,154.0,50.0
Gold,22.0,185.0,75.0
Bronze,22.0,195.0,102.0
Bronze,19.0,174.0,70.0
Bronze,19.0,174.0,70.0
Gold,29.0,178.0,70.0
Gold,29.0,178.0,70.0
Bronze,19.0,192.0,80.0
Silver,23.0,192.0,80.0
Bronze,19.0,161.0,55.0
Silver,23.0,161.0,55.0
Silver,27.0,161.0,55.0
Silver,23.0,158.0,68.0
Bronze,23.0,194.0,146.0
Silver,23.0,175.0,54.0
Gold,23.0,175.0,54.0
Silver,27.0,175.0,54.0
Gold,27.0,175.0,54.0
Silver,26.0,178.0,95.0
Bronze,27.0,190.0,91.0
Bronze,27.0,170.0,81.0
Silver,25.0,188.0,91.0
Gold,21.0,180.0,66.0
Bronze,21.0,173.0,70.0
Bronze,29.0,173.0,70.0
Silver,22.0,175.0,78.0
Bronze,22.0,175.0,78.0
Silver,26.0,175.0,78.0
Silver,26.0,175.0,78.0
Gold,30.0,175.0,78.0
Gold,34.0,175.0,78.0
Silver,21.0,182.0,79.0
Gold,29.0,170.0,55.0
Bronze,29.0,180.0,72.0
Gold,21.0,173.0,69.0
Bronze,42.0,178.0,82.0
Gold,26.0,184.0,87.0
Silver,21.0,157.0,43.0
Gold,18.0,175.0,63.0
Gold,18.0,175.0,63.0
Silver,23.0,172.0,61.0
Bronze,41.0,185.0,81.0
Bronze,27.0,186.0,75.0
Bronze,22.0,172.0,62.0
Gold,22.0,192.0,87.0
Bronze,26.0,192.0,87.0
Silver,31.0,180.0,75.0
Gold,24.0,168.0,52.0
Bronze,24.0,187.0,70.0
Bronze,20.0,181.0,78.0
Silver,25.0,160.0,50.0
Bronze,26.0,194.0,90.0
Silver,23.0,182.0,78.0
Bronze,26.0,186.0,86.0
Gold,28.0,184.0,82.0
Silver,22.0,170.0,61.0
Bronze,24.0,186.0,82.0
Bronze,20.0,185.0,79.0
Silver,27.0,179.0,77.0
Bronze,24.0,195.0,80.0
Silver,22.0,188.0,84.0
Silver,18.0,156.0,48.0
Bronze,20.0,185.0,75.0
Gold,27.0,185.0,77.0
Gold,23.0,187.0,85.0
Silver,27.0,187.0,85.0
Silver,28.0,173.0,67.0
Bronze,31.0,170.0,58.0
Bronze,25.0,190.0,100.0
Silver,29.0,190.0,100.0
Bronze,26.0,183.0,70.0
Silver,21.0,198.0,82.0
Silver,20.0,174.0,80.0
Gold,22.0,182.0,79.0
Gold,23.0,179.0,74.0
Gold,27.0,179.0,74.0
Bronze,34.0,171.0,65.0
Bronze,24.0,173.0,75.0
Gold,22.0,175.0,74.0
Silver,22.0,190.0,78.0
Bronze,25.0,185.0,86.0
Gold,22.0,169.0,66.0
Silver,18.0,169.0,61.0
Bronze,21.0,175.0,75.0
Gold,14.0,162.0,45.0
Silver,14.0,162.0,45.0
Bronze,14.0,162.0,45.0
Gold,14.0,162.0,45.0
Silver,18.0,162.0,45.0
Silver,18.0,162.0,45.0
Gold,18.0,162.0,45.0
Bronze,24.0,166.0,74.0
Gold,21.0,165.0,62.0
Gold,23.0,165.0,62.0
Gold,27.0,165.0,62.0
Silver,27.0,165.0,62.0
Bronze,22.0,177.0,74.0
Gold,27.0,171.0,57.0
Silver,16.0,167.0,59.0
Silver,55.0,188.0,82.0
Gold,19.0,189.0,79.0
Gold,19.0,189.0,79.0
Bronze,29.0,190.0,78.0
Bronze,30.0,170.0,51.0
Bronze,21.0,166.0,58.0
Silver,29.0,166.0,58.0
Gold,21.0,193.0,80.0
Bronze,20.0,170.0,56.0
Silver,21.0,185.0,78.0
Gold,29.0,185.0,78.0
Bronze,25.0,177.0,79.0
Gold,26.0,165.0,58.0
Gold,26.0,165.0,58.0
Bronze,33.0,186.0,89.0
Gold,25.0,183.0,106.0
Bronze,24.0,172.0,61.0
Silver,27.0,175.0,72.0
Bronze,27.0,175.0,72.0
Gold,27.0,175.0,72.0
Silver,31.0,175.0,72.0
Bronze,22.0,167.0,64.0
Bronze,26.0,186.0,78.0
Silver,28.0,187.0,80.0
Bronze,26.0,179.0,78.0
Bronze,34.0,179.0,78.0
Silver,24.0,174.0,70.0
Gold,31.0,183.0,100.0
Silver,35.0,183.0,100.0
Silver,15.0,160.0,46.0
Bronze,24.0,179.0,75.0
Bronze,25.0,197.0,90.0
Bronze,25.0,165.0,64.0
Gold,32.0,179.0,71.0
Bronze,22.0,178.0,82.0
Bronze,24.0,155.0,49.0
Gold,24.0,191.0,107.0
Silver,28.0,191.0,107.0
Bronze,22.0,180.0,77.0
Silver,22.0,184.0,76.0
Silver,21.0,183.0,68.0
Bronze,25.0,183.0,68.0
Bronze,29.0,167.0,70.0
Gold,29.0,193.0,96.0
Gold,19.0,178.0,66.0
Silver,26.0,185.0,72.0
Gold,26.0,168.0,55.0
Bronze,21.0,181.0,73.0
Gold,25.0,181.0,73.0
Gold,28.0,172.0,57.0
Silver,17.0,170.0,61.0
Bronze,37.0,175.0,71.0
Silver,41.0,175.0,71.0
Bronze,19.0,175.0,64.0
Bronze,23.0,178.0,69.0
Silver,31.0,178.0,69.0
Gold,41.0,188.0,90.0
Silver,24.0,181.0,82.0
Gold,19.0,183.0,84.0
Gold,25.0,167.0,58.0
Bronze,28.0,162.0,51.0
Gold,27.0,188.0,92.0
Gold,18.0,160.0,72.0
Silver,24.0,170.0,57.0
Gold,25.0,178.0,68.0
Bronze,29.0,178.0,68.0
Silver,23.0,188.0,85.0
Bronze,30.0,170.0,66.0
Gold,36.0,170.0,76.0
Gold,40.0,170.0,76.0
Bronze,20.0,190.0,89.0
Gold,28.0,190.0,89.0
Silver,32.0,190.0,89.0
Bronze,40.0,190.0,89.0
Silver,25.0,177.0,63.0
Gold,21.0,172.0,58.0
Silver,23.0,165.0,59.0
Gold,27.0,165.0,59.0
Bronze,29.0,191.0,85.0
Bronze,24.0,203.0,100.0
Bronze,52.0,178.0,80.0
Silver,20.0,169.0,58.0
Silver,29.0,189.0,100.0
Silver,29.0,182.0,84.0
Gold,27.0,179.0,78.0
Bronze,29.0,177.0,75.0
Gold,22.0,196.0,88.0
Silver,33.0,168.0,55.0
Bronze,33.0,168.0,55.0
Bronze,26.0,170.0,65.0
Gold,34.0,175.0,81.0
Gold,38.0,175.0,81.0
Silver,22.0,182.0,70.0
Gold,30.0,191.0,98.0
Gold,34.0,191.0,98.0
Bronze,22.0,174.0,66.0
Bronze,20.0,195.0,95.0
Gold,30.0,188.0,83.0
Silver,27.0,175.0,65.0
Gold,19.0,183.0,67.0
Silver,22.0,180.0,75.0
Silver,22.0,175.0,61.0
Bronze,26.0,180.0,70.0
Bronze,20.0,163.0,55.0
Bronze,26.0,190.0,87.0
Bronze,13.0,157.0,45.0
Bronze,22.0,195.0,109.0
Bronze,18.0,167.0,60.0
Gold,23.0,171.0,70.0
Silver,25.0,181.0,80.0
Bronze,24.0,186.0,80.0
Silver,22.0,177.0,68.0
Bronze,41.0,156.0,68.0
Silver,19.0,209.0,94.0
Silver,27.0,209.0,94.0
Gold,31.0,209.0,94.0
Bronze,22.0,180.0,78.0
Silver,26.0,180.0,78.0
Bronze,30.0,180.0,78.0
Bronze,25.0,180.0,78.0
Bronze,22.0,187.0,94.0
Bronze,27.0,187.0,94.0
Gold,18.0,177.0,76.0
Gold,22.0,177.0,76.0
Gold,27.0,177.0,76.0
Gold,24.0,180.0,79.0
Silver,27.0,188.0,84.0
Gold,25.0,178.0,73.0
Gold,29.0,178.0,73.0
Gold,33.0,178.0,73.0
Bronze,27.0,182.0,84.0
Gold,21.0,162.0,50.0
Silver,25.0,174.0,70.0
Bronze,27.0,160.0,52.0
Bronze,28.0,190.0,89.0
Silver,27.0,167.0,65.0
Bronze,34.0,178.0,72.0
Gold,29.0,183.0,86.0
Bronze,23.0,167.0,59.0
Bronze,23.0,167.0,59.0
Bronze,16.0,168.0,59.0
Bronze,21.0,173.0,63.0
Silver,21.0,173.0,63.0
Gold,21.0,173.0,63.0
Gold,21.0,173.0,63.0
Bronze,25.0,173.0,63.0
Silver,25.0,173.0,63.0
Bronze,25.0,173.0,63.0
Gold,25.0,173.0,63.0
Bronze,25.0,173.0,63.0
Bronze,29.0,173.0,63.0
Gold,22.0,213.0,102.0
Bronze,22.0,173.0,68.0
Gold,44.0,171.0,65.0
Bronze,21.0,169.0,68.0
Gold,23.0,188.0,81.0
Gold,23.0,188.0,81.0
Gold,25.0,210.0,122.0
Gold,22.0,183.0,66.0
Silver,26.0,168.0,67.0
Bronze,26.0,168.0,67.0
Gold,24.0,176.0,69.0
Silver,24.0,176.0,69.0
Bronze,24.0,176.0,69.0
Silver,24.0,176.0,69.0
Gold,22.0,179.0,85.0
Gold,25.0,176.0,58.0
Bronze,27.0,188.0,86.0
Gold,23.0,172.0,75.0
Silver,27.0,172.0,75.0
Gold,22.0,181.0,73.0
Bronze,30.0,181.0,73.0
Silver,32.0,201.0,130.0
Silver,20.0,176.0,64.0
Gold,20.0,176.0,64.0
Bronze,20.0,176.0,64.0
Silver,24.0,176.0,64.0
Gold,24.0,176.0,64.0
Silver,24.0,176.0,64.0
Bronze,22.0,143.0,54.0
Silver,30.0,184.0,103.0
Gold,25.0,168.0,55.0
Silver,25.0,182.0,83.0
Bronze,21.0,180.0,86.0
Silver,31.0,185.0,74.0
Silver,27.0,182.0,83.0
Gold,22.0,168.0,61.0
Bronze,22.0,171.0,64.0
Bronze,29.0,171.0,64.0
Silver,25.0,183.0,77.0
Gold,26.0,160.0,59.0
Silver,21.0,157.0,57.0
Silver,24.0,200.0,86.0
Silver,21.0,167.0,68.0
Gold,28.0,192.0,100.0
Gold,32.0,192.0,100.0
Gold,34.0,171.0,67.0
Silver,26.0,170.0,61.0
Gold,19.0,180.0,77.0
Gold,22.0,185.0,86.0
Silver,21.0,181.0,88.0
Gold,25.0,181.0,88.0
Gold,29.0,181.0,88.0
Gold,22.0,182.0,73.0
Gold,22.0,182.0,73.0
Silver,23.0,186.0,69.0
Silver,21.0,172.0,60.0
Bronze,26.0,172.0,68.0
Gold,23.0,192.0,98.0
Silver,27.0,192.0,98.0
Bronze,31.0,192.0,98.0
Gold,31.0,192.0,98.0
Gold,26.0,187.0,92.0
Gold,25.0,187.0,90.0
Gold,28.0,173.0,74.0
Gold,26.0,181.0,86.0
Silver,26.0,181.0,86.0
Silver,30.0,181.0,86.0
Bronze,21.0,164.0,78.0
Gold,28.0,191.0,89.0
Silver,27.0,186.0,79.0
Bronze,31.0,186.0,79.0
Bronze,21.0,170.0,55.0
Silver,21.0,184.0,80.0
Gold,31.0,185.0,93.0
Silver,27.0,178.0,70.0
Silver,25.0,181.0,76.0
Gold,25.0,183.0,79.0
Silver,20.0,180.0,75.0
Silver,19.0,176.0,69.0
Silver,23.0,176.0,69.0
Gold,18.0,193.0,86.0
Bronze,21.0,193.0,86.0
Silver,21.0,193.0,86.0
Gold,21.0,193.0,86.0
Gold,25.0,193.0,86.0
Silver,26.0,174.0,64.0
Silver,17.0,170.0,60.0
Bronze,21.0,170.0,60.0
Silver,23.0,184.0,87.0
Bronze,22.0,174.0,64.0
Gold,22.0,173.0,61.0
Silver,30.0,193.0,89.0
Bronze,27.0,173.0,82.0
Bronze,24.0,169.0,58.0
Gold,31.0,172.0,74.0
Silver,21.0,175.0,58.0
Silver,27.0,186.0,89.0
Gold,26.0,198.0,90.0
Gold,22.0,180.0,90.0
Gold,26.0,180.0,90.0
Silver,21.0,165.0,57.0
Gold,28.0,170.0,57.0
Bronze,23.0,187.0,89.0
Gold,27.0,187.0,89.0
Silver,23.0,191.0,103.0
Bronze,29.0,175.0,84.0
Bronze,30.0,180.0,70.0
Silver,26.0,182.0,86.0
Silver,23.0,183.0,71.0
Silver,25.0,195.0,95.0
Gold,23.0,201.0,125.0
Bronze,27.0,160.0,48.0
Bronze,26.0,188.0,74.0
Silver,26.0,188.0,74.0
Gold,30.0,188.0,74.0
Bronze,25.0,186.0,85.0
Gold,29.0,186.0,85.0
Bronze,20.0,187.0,79.0
Gold,28.0,187.0,79.0
Bronze,27.0,168.0,67.0
Bronze,29.0,190.0,108.0
Silver,19.0,172.0,70.0
Silver,29.0,176.0,60.0
Bronze,28.0,159.0,63.0
Gold,21.0,187.0,74.0
Silver,25.0,187.0,74.0
Silver,26.0,178.0,67.0
Bronze,20.0,187.0,76.0
Gold,21.0,166.0,58.0
Silver,25.0,168.0,66.0
Bronze,30.0,177.0,68.0
Gold,25.0,198.0,103.0
Bronze,29.0,198.0,103.0
Bronze,21.0,183.0,82.0
Silver,25.0,183.0,82.0
Bronze,21.0,180.0,72.0
Bronze,17.0,166.0,55.0
Bronze,24.0,185.0,100.0
Bronze,28.0,185.0,100.0
Bronze,18.0,188.0,83.0
Silver,22.0,188.0,83.0
Bronze,26.0,188.0,83.0
Silver,30.0,188.0,83.0
Gold,20.0,170.0,89.0
Silver,23.0,186.0,86.0
Bronze,25.0,160.0,51.0
Silver,24.0,185.0,91.0
Gold,27.0,185.0,91.0
Silver,26.0,191.0,100.0
Bronze,23.0,183.0,90.0
Silver,27.0,183.0,90.0
Silver,31.0,183.0,90.0
Gold,26.0,176.0,78.0
Bronze,23.0,183.0,81.0
Silver,26.0,168.0,64.0
Gold,30.0,168.0,64.0
Gold,29.0,177.0,78.0
Bronze,23.0,197.0,125.0
Gold,25.0,193.0,89.0
Bronze,29.0,193.0,89.0
Bronze,33.0,184.0,73.0
Gold,24.0,175.0,72.0
Silver,23.0,174.0,89.0
Bronze,23.0,177.0,82.0
Silver,25.0,185.0,86.0
Bronze,17.0,184.0,84.0
Gold,23.0,166.0,59.0
Bronze,23.0,175.0,67.0
Bronze,27.0,183.0,72.0
Bronze,28.0,179.0,73.0
Silver,23.0,178.0,73.0
Bronze,19.0,181.0,71.0
Silver,27.0,181.0,71.0
Gold,25.0,191.0,91.0
Bronze,24.0,170.0,62.0
Bronze,29.0,195.0,93.0
Bronze,26.0,182.0,74.0
Gold,30.0,182.0,74.0
Gold,20.0,180.0,71.0
Bronze,28.0,200.0,82.0
Gold,29.0,183.0,104.0
Bronze,21.0,199.0,86.0
Bronze,31.0,188.0,93.0
Silver,23.0,190.0,75.0
Bronze,25.0,171.0,66.0
Gold,44.0,168.0,66.0
Silver,26.0,178.0,70.0
Bronze,21.0,185.0,80.0
Gold,33.0,185.0,80.0
Bronze,26.0,178.0,78.0
Silver,23.0,184.0,70.0
Silver,23.0,180.0,67.0
Silver,24.0,175.0,62.0
Silver,27.0,175.0,78.0
Gold,24.0,185.0,74.0
Gold,26.0,180.0,67.0
Silver,24.0,167.0,68.0
Gold,23.0,176.0,66.0
Gold,43.0,175.0,65.0
Bronze,17.0,171.0,70.0
Silver,22.0,188.0,72.0
Gold,18.0,169.0,57.0
Gold,18.0,169.0,57.0
Gold,26.0,169.0,57.0
Silver,28.0,160.0,54.0
Bronze,32.0,160.0,54.0
Gold,15.0,143.0,36.0
Bronze,26.0,185.0,89.0
Silver,24.0,175.0,60.0
Gold,23.0,163.0,60.0
Silver,26.0,202.0,97.0
Bronze,21.0,178.0,68.0
Silver,27.0,196.0,92.0
Silver,26.0,171.0,69.0
Silver,24.0,199.0,90.0
Silver,28.0,199.0,90.0
Gold,21.0,189.0,86.0
Bronze,28.0,172.0,63.0
Bronze,32.0,172.0,63.0
Bronze,28.0,165.0,67.0
Silver,28.0,173.0,67.0
Bronze,38.0,182.0,89.0
Bronze,18.0,185.0,76.0
Gold,22.0,185.0,76.0
Silver,25.0,177.0,70.0
Gold,20.0,173.0,64.0
Silver,24.0,157.0,55.5
Bronze,16.0,172.0,63.0
Gold,30.0,180.0,90.0
Gold,30.0,176.0,72.0
Gold,23.0,170.0,70.0
Silver,24.0,176.0,80.0
Bronze,28.0,176.0,80.0
Gold,26.0,185.0,82.0
Gold,28.0,180.0,72.0
Silver,25.0,186.0,95.0
Bronze,23.0,173.0,71.0
Silver,39.0,170.0,80.0
Gold,24.0,172.0,63.0
Bronze,21.0,186.0,74.0
Gold,24.0,178.0,69.0
Gold,29.0,178.0,69.0
Bronze,23.0,187.0,78.0
Silver,27.0,187.0,78.0
Bronze,32.0,174.0,71.0
Silver,29.0,186.0,88.0
Bronze,20.0,177.0,78.0
Bronze,25.0,177.0,78.0
Bronze,25.0,203.0,160.0
Bronze,29.0,203.0,160.0
Bronze,24.0,187.0,74.0
Bronze,31.0,187.0,74.0
Silver,27.0,167.0,69.0
Gold,24.0,190.0,95.0
Bronze,34.0,173.0,63.0
Gold,21.0,171.0,59.0
Gold,22.0,175.0,64.0
Gold,21.0,179.0,83.0
Bronze,22.0,183.0,81.0
Gold,22.0,163.0,54.0
Bronze,47.0,147.0,41.0
Gold,22.0,165.0,66.0
Bronze,22.0,165.0,66.0
Gold,25.0,168.0,62.0
Gold,28.0,168.0,62.0
Bronze,23.0,179.0,74.0
Bronze,22.0,170.0,52.0
Silver,23.0,180.0,86.0
Gold,29.0,165.0,60.0
Silver,46.0,185.0,95.0
Silver,21.0,168.0,63.0
Gold,31.0,173.0,64.0
Silver,29.0,173.0,66.0
Silver,23.0,179.0,65.0
Bronze,18.0,172.0,67.0
Silver,26.0,177.0,73.0
Bronze,20.0,181.0,75.0
Bronze,21.0,178.0,70.0
Silver,31.0,168.0,61.0
Silver,23.0,168.0,64.0
Silver,25.0,169.0,67.0
Gold,22.0,190.0,105.0
Silver,26.0,172.0,84.0
Gold,19.0,186.0,70.0
Silver,19.0,186.0,70.0
Gold,19.0,190.0,77.0
Gold,24.0,183.0,85.0
Bronze,18.0,177.0,74.0
Gold,28.0,206.0,93.0
Silver,24.0,197.0,95.0
Gold,28.0,197.0,95.0
Bronze,32.0,197.0,95.0
Bronze,30.0,187.0,82.0
Gold,27.0,182.0,78.0
Bronze,31.0,182.0,78.0
Silver,20.0,178.0,76.0
Silver,30.0,163.0,57.0
Bronze,25.0,184.0,69.0
Gold,20.0,189.0,84.0
Gold,19.0,178.0,82.0
Bronze,27.0,178.0,82.0
Gold,23.0,180.0,72.0
Silver,24.0,187.0,83.0
Bronze,23.0,173.0,77.0
Bronze,25.0,189.0,83.0
Gold,24.0,178.0,75.0
Gold,24.0,178.0,75.0
Gold,28.0,178.0,75.0
Gold,28.0,178.0,75.0
Gold,32.0,178.0,75.0
Silver,25.0,192.0,98.0
Gold,26.0,172.0,73.0
Silver,23.0,187.0,84.0
Gold,23.0,183.0,70.0
Bronze,27.0,183.0,70.0
Bronze,31.0,183.0,70.0
Bronze,21.0,190.0,104.0
Bronze,22.0,184.0,80.0
Silver,28.0,165.0,52.0
Silver,23.0,178.0,67.0
Silver,28.0,169.0,60.0
Silver,27.0,193.0,123.0
Bronze,31.0,193.0,123.0
Gold,35.0,193.0,123.0
Silver,31.0,183.0,80.0
Bronze,27.0,158.0,50.0
Silver,18.0,173.0,65.0
Bronze,18.0,173.0,65.0
Gold,18.0,173.0,65.0
Bronze,22.0,173.0,65.0
Bronze,22.0,174.0,88.0
Silver,20.0,171.0,66.0
Silver,24.0,171.0,66.0
Silver,28.0,175.0,78.0
Gold,36.0,165.0,50.0
Bronze,19.0,183.0,70.0
Silver,19.0,183.0,70.0
Gold,19.0,183.0,70.0
Gold,19.0,183.0,70.0
Gold,19.0,183.0,70.0
Gold,21.0,183.0,70.0
Gold,23.0,183.0,70.0
Bronze,23.0,183.0,70.0
Bronze,19.0,166.0,61.0
Silver,23.0,180.0,79.0
Bronze,27.0,180.0,79.0
Bronze,19.0,171.0,63.0
Gold,23.0,182.0,88.0
Silver,21.0,180.0,74.0
Silver,24.0,179.0,84.0
Silver,21.0,184.0,73.0
Gold,27.0,168.0,56.0
Silver,27.0,168.0,56.0
Gold,27.0,168.0,56.0
Silver,26.0,201.0,99.0
Bronze,24.0,172.0,69.0
Silver,25.0,185.0,82.0
