Componente 1,Componente 2,outliers
-0.5276769307910086,-0.7664398334812494,1
-0.4836207489992741,-0.7709581488424694,1
-0.49907994486408663,0.6234827074868325,1
-0.49907994486409385,0.6234827074868318,1
-0.49907994486409385,0.6234827074868318,1
-0.48653292643535057,-0.7706041610033681,1
-0.49702432474530706,0.640186483052493,1
-0.4815651288804982,-0.7542543732768083,1
-0.4629380883002776,0.06943172735511693,1
-0.48261536109165765,-0.7551272914054342,1
-0.49717632036278636,0.6397383146868013,1
-0.49717632036278636,0.6397383146868013,1
-0.4989133005176056,0.6388905650415807,1
-0.455810850406888,0.06572337788956231,1
0.9138881626907791,-0.749136057176158,1
-0.5036011624328114,-0.7632597267737096,1
-0.4964449456478909,-0.7622215381499757,1
0.9727052718765394,-0.7539824445201458,1
0.9639901285925088,0.09175811139087062,1
-0.4924825155232439,0.6302429022491239,1
-0.49005134456600186,0.6233549681562985,1
-0.4910832465673726,0.6218482066952058,1
-0.4545103145869339,0.052532133528432945,1
-0.4980225099971909,0.6376226677526637,1
-0.514153963601727,0.6353640556892615,1
-0.42624754223880185,0.18033442672702704,1
-0.532321795073084,0.6332093008483853,1
-0.4920361855514651,-0.7373722556303902,1
0.9811066531332092,0.07277339180907579,1
-0.5049184199966726,0.6225301552159803,1
-0.49574968829691785,0.06368177360256735,1
-0.5443525228522119,0.6325914270163132,1
-0.538274435605313,0.6306948390685675,1
-0.5291815768160414,0.6308483559090546,1
-0.5373166676816814,0.6354072665035263,1
-0.5381076910169565,0.6316474244717699,1
-0.507928490511167,0.05948461006025726,1
-0.5475868968422294,0.6355280972626034,1
-0.5480931098572912,0.6318173537579463,1
-0.5177016229076,0.05969113546314355,1
-0.45124940554039705,-0.7726506329756255,1
-0.4539706254578415,-0.6384201535284965,1
0.9622799480618555,0.19427977161993695,1
0.9890542387407287,0.19354119672965367,1
-0.48270631633235267,-0.7642065720559906,1
0.9728671802236177,-0.7302910935043054,1
-0.5234051853128345,0.6374905921032684,1
-0.4819056130265243,0.07071410429907894,1
-0.5437458690932431,0.6579509040935715,1
-0.48863853202883284,0.6225021518782808,1
-0.4610824222235145,0.05956583132873538,1
-0.48696333462952407,0.6296292331966726,1
-0.49454607686461555,0.7633735265374311,1
-0.47043509573718617,0.06062196007162751,1
-0.5415519066926321,0.65910211197199,1
-0.4983718437155909,0.6265041908632301,1
-0.45034888999134604,-0.7409558284150255,1
-0.48663202693098245,0.19119947925228195,1
0.9705549552755951,0.08105450115518285,1
0.9838185577499248,-0.7513174004453502,1
-0.45536842670609523,0.6553735721263269,1
-0.5041773629378794,-0.7386405175734357,1
-0.48450009014649914,0.08591850118711544,1
